latitude;longitude;acq_date
0.5171;122.7052;27/02/2016
0.5148;122.6972;27/02/2016
1.5355;124.9054;27/02/2016
-2.576;121.3758;27/02/2016
-2.5774;121.3855;27/02/2016
1.0411;120.8242;28/02/2016
-0.9887;122.1738;28/02/2016
-2.5747;121.3799;28/02/2016
-2.5869;121.3786;28/02/2016
-0.9884;122.1804;28/02/2016
-5.4682;122.5999;29/02/2016
-0.5975;123.2085;29/02/2016
-1.3044;121.8215;01/03/2016
-2.5812;121.3689;01/03/2016
-2.58;121.3779;01/03/2016
0.5512;120.3695;01/03/2016
-1.8331;121.9918;03/03/2016
1.0397;120.8193;03/03/2016
-1.5239;122.2697;03/03/2016
-2.8262;122.1638;03/03/2016
-2.5816;121.3831;03/03/2016
-2.5803;121.3742;03/03/2016
-1.5182;122.2645;03/03/2016
-1.3959;120.7492;03/03/2016
-2.5886;121.3682;04/03/2016
-3.0002;120.1859;04/03/2016
-2.5835;121.3747;04/03/2016
1.4508;125.2029;05/03/2016
-2.5742;121.3796;05/03/2016
-1.5233;122.2603;05/03/2016
-1.2389;123.052;05/03/2016
0.7692;122.2673;05/03/2016
0.8397;123.4599;05/03/2016
0.8182;122.5217;05/03/2016
-0.593;123.2182;06/03/2016
-0.5967;123.2229;06/03/2016
-1.5194;122.2631;06/03/2016
0.4891;122.0461;07/03/2016
1.451;125.1951;07/03/2016
-2.5802;121.3723;07/03/2016
-1.8337;121.997;07/03/2016
-1.5151;122.2618;07/03/2016
-1.5167;122.2727;07/03/2016
0.9937;122.0687;08/03/2016
-2.5744;121.3799;08/03/2016
-2.577;121.3735;08/03/2016
-2.5792;121.3495;08/03/2016
-2.5688;121.3913;08/03/2016
-2.5827;121.3901;08/03/2016
-2.5793;121.3655;08/03/2016
0.4346;124.1713;09/03/2016
0.4383;124.1463;09/03/2016
0.4267;124.1502;09/03/2016
0.4316;124.1345;09/03/2016
0.4189;124.1315;09/03/2016
0.7988;122.411;09/03/2016
-2.5699;121.3785;09/03/2016
-2.5721;121.3831;09/03/2016
-0.8183;122.4887;10/03/2016
0.3404;119.8757;10/03/2016
1.0385;121.6392;10/03/2016
0.3417;119.8667;10/03/2016
-0.8197;122.4983;10/03/2016
-1.7314;120.6176;10/03/2016
-3.8232;119.7502;10/03/2016
-1.521;122.2608;10/03/2016
-2.5858;121.3783;10/03/2016
-1.2501;123.0608;10/03/2016
-2.7344;120.2635;10/03/2016
-1.2423;122.9869;10/03/2016
-2.5872;121.3682;10/03/2016
